FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleID,SampleDepth_m,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,geom
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6133,NRS,Maria Island,MAI20091111,2009-11-11,2009-11-11 12:30:00,-42.5967,148.2333,19,MAI20091111_20,20,0.041,0.023,0,0,,,0.019,0,0.521,0.098,0.009,0.067,0.024,,0,0,0.011,0,0,0.521,0,0.098,0,0,0.035,0,0.069,0,0,0,0,0.012,0.016,0,0,0,0.034,0,0,0.01,0.018,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6134,NRS,Maria Island,MAI20091111,2009-11-11,2009-11-11 12:40:00,-42.5967,148.2333,19,MAI20091111_80,80,0,0,0,0,,,0,0,0.052,0.02,0.002,0.003,0,,0,0,0.002,0,0,0.052,0,0.02,0,0,0.014,0,0.008,0,0,0,0,0.002,0,0,0,0,0.008,0.064,0,0,0.004,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6135,NRS,Maria Island,MAI20091111,2009-11-11,2009-11-11 13:30:00,-42.5967,148.2333,19,MAI20091111_WC,WC,0.031,0.017,0,0,,,0.011,0,0.389,0.076,0.009,0.037,0.028,,0,0,0.008,0,0,0.389,0,0.076,0,0,0.037,0,0.038,0,0,0,0,0.01,0.009,0,0,0,0.028,0,0,0.007,0.016,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6136,NRS,Maria Island,MAI20091207,2009-12-07,2009-12-07 13:00:00,-42.5967,148.2333,14,MAI20091207_20,20,0.026,0.035,0,0,,,0.023,0,1.176,0.062,0,0.22,0.059,,0,0,0.054,0.007,0,1.176,0,0.062,0,0,0.537,0,0.064,0,0,0,0,0.007,0.014,0,0,0,0.016,0,0,0.005,0.01,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6137,NRS,Maria Island,MAI20091207,2009-12-07,2009-12-07 13:10:00,-42.5967,148.2333,14,MAI20091207_80,80,0,0,0,0,,,0,0,0.056,0,0,0.005,0,,0,0,0.003,0,0,0.056,0,0,0,0,0.021,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6138,NRS,Maria Island,MAI20091207,2009-12-07,2009-12-07 13:20:00,-42.5967,148.2333,14,MAI20091207_WC,WC,0.02,0.021,0,0,,,0.018,0,0.611,0.044,0,0.119,0.043,,0,0,0.029,0.005,0,0.611,0,0.044,0,0,0.212,0,0.069,0,0,0,0,0.006,0.009,0,0,0,0.014,0,0,0.006,0.009,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6139,NRS,Maria Island,MAI20100120,2010-01-20,2010-01-21 12:00:00,-42.5967,148.2333,11.5,MAI20100120_20,20,0.032,0.04,0,0,,,0.035,0,0.807,0.22,0,0.097,0.059,,0,0,0.035,0,0,0.807,0,0.22,0,0,0.07,0,0.144,0,0,0,0,0.027,0.017,0,0,0,0.059,0,0,0.025,0.04,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_613a,NRS,Maria Island,MAI20100120,2010-01-20,2010-01-21 12:20:00,-42.5967,148.2333,11.5,MAI20100120_80,80,0.004,0.012,0,0,,,0.016,0,0.267,0.078,0,0.024,0.025,,0,0,0.007,0,0,0.267,0,0.078,0,0,0.043,0,0.071,0,0,0,0,0.008,0,0,0,0,0.024,0,0,0.004,0.005,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_613b,NRS,Maria Island,MAI20100120,2010-01-20,2010-01-21 13:00:00,-42.5967,148.2333,11.5,MAI20100120_WC,WC,0.022,0.029,0.007,0,,,0.029,0,0.656,0.181,0,0.065,0.047,,0,0,0.025,0.005,0,0.656,0,0.181,0,0,0.056,0,0.113,0,0,0,0,0.022,0.013,0,0,0,0.044,0,0,0.014,0.056,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_613c,NRS,Maria Island,MAI20100330,2010-03-30,2010-03-30 12:50:00,-42.5967,148.2333,18,MAI20100330_20,20,0.037,0.032,0,0.008,,,0.019,0,0.71,0.057,0.106,0,0.025,,0,0,0.046,0.004,0,0.71,0,0.057,0,0,0.206,0,0.048,0,0,0,0,0.007,0.014,0,0,0,0.012,0,0,0.009,0.033,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_613d,NRS,Maria Island,MAI20100330,2010-03-30,2010-03-30 12:55:00,-42.5967,148.2333,18,MAI20100330_84,84,0,0,0,0,,,0.011,0,0.044,0,0,0,0,,0,0,0,0,0,0.044,0,0,0,0,0.011,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_613e,NRS,Maria Island,MAI20100330,2010-03-30,2010-03-30 11:55:00,-42.5967,148.2333,18,MAI20100330_WC,WC,0.028,0.014,0,0,,,0.017,0,0.385,0.035,0.031,0,0.023,,0.174,0,0.024,0.004,0,0.385,0,0.035,0,0,0.154,0,0.035,0,0,0,0,0.005,0.007,0,0,0,0.008,0,0,0.004,0.023,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_613f,NRS,Maria Island,MAI20100505,2010-05-05,2010-05-05 12:00:00,-42.5967,148.2333,36,MAI20100505_20,20,0.028,0.013,0,0,,,0.023,0,0.521,0.08,0,0.035,0,,0,0,0.017,0,0,0.521,0,0.08,0,0,0.089,0,0.08,0,0,0,0,0.015,0,0,0,0,0.032,0,0,0.01,0.009,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6140,NRS,Maria Island,MAI20100505,2010-05-05,2010-05-05 12:00:00,-42.5967,148.2333,36,MAI20100505_80,80,0.027,0.019,0,0,,,0.019,0,0.475,0.082,0,0.034,0.005,,0,0,0.015,0,0,0.475,0,0.082,0,0,0.09,0,0.07,0,0,0,0,0.012,0.007,0,0,0,0.024,0,0,0.007,0.006,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6141,NRS,Maria Island,MAI20100505,2010-05-05,2010-05-05 12:00:00,-42.5967,148.2333,36,MAI20100505_WC,WC,0.031,0.023,0,0,,,0.022,0,0.529,0.106,0,0.042,0.011,,0,0,0.017,0,0,0.529,0,0.106,0,0,0.076,0,0.073,0,0,0,0,0.011,0.009,0,0,0,0.028,0,0,0.01,0.011,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6142,NRS,Maria Island,MAI20100527,2010-05-27,2010-05-27 11:30:00,-42.5967,148.2333,26,MAI20100527_20,20,0.008,0.006,0,0,,,0.02,0,0.2,0.055,0,0.014,0,,0,0,0.01,0,0,0.2,0,0.055,0,0,0.021,0,0.04,0,0,0,0,0.006,0,0,0,0,0.015,0,0,0.007,0.005,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6143,NRS,Maria Island,MAI20100527,2010-05-27,2010-05-27 11:30:00,-42.5967,148.2333,26,MAI20100527_80,80,0.005,0.003,0,0,,,0.017,0,0.156,0.048,0,0.01,0,,0,0,0.003,0,0,0.156,0,0.048,0,0,0.018,0,0.027,0,0,0,0,0.005,0,0,0,0,0.014,0,0,0.003,0,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6144,NRS,Maria Island,MAI20100527,2010-05-27,2010-05-27 11:30:00,-42.5967,148.2333,26,MAI20100527_WC,WC,0.009,0.003,0,0,,,0.021,0,0.187,0.047,0,0.019,0.006,,0,0,0.009,0,0,0.187,0,0.047,0,0,0.02,0,0.039,0,0,0,0,0.004,0,0,0,0,0.016,0,0,0.005,0,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6145,NRS,Maria Island,MAI20100615,2010-06-15,2010-06-15 12:05:00,-42.5967,148.2333,21,MAI20100615_20,20,0.018,0.015,0,0,,,0.024,0,0.361,0.093,0,0.033,0.015,,0,0,0.015,0,0,0.361,0,0.093,0,0,0.032,0,0.049,0,0,0,0,0.012,0.008,0,0,0,0.024,0,0,0.012,0.015,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6146,NRS,Maria Island,MAI20100615,2010-06-15,2010-06-15 12:10:00,-42.5967,148.2333,21,MAI20100615_80,80,0.015,0.013,0,0,,,0.026,0,0.328,0.089,0,0.03,0.023,,0,0,0.008,0,0,0.328,0,0.089,0,0,0.033,0,0.048,0,0,0,0,0.011,0.006,0,0,0,0.023,0,0,0.006,0.014,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6147,NRS,Maria Island,MAI20100615,2010-06-15,2010-06-15 12:30:00,-42.5967,148.2333,21,MAI20100615_WC,WC,0.019,0.014,0,0,,,0.025,0,0.359,0.09,0,0.031,0.021,,0,0,0.012,0,0,0.359,0,0.09,0,0,0.033,0,0.054,0,0,0,0,0.012,0.007,0,0,0,0.025,0,0,0.008,0.014,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6148,NRS,Maria Island,MAI20100722,2010-07-22,2010-07-22 12:00:00,-42.5967,148.2333,22,MAI20100722_20,20,0.012,0.008,0,0,,,0.027,0,0.273,0.053,0,0.028,0.018,,0,0,0.011,0,0,0.273,0,0.053,0,0,0.034,0,0.048,0,0,0,0,0.006,0.006,0,0,0,0.014,0,0,0.006,0.009,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6149,NRS,Maria Island,MAI20100722,2010-07-22,2010-07-22 12:10:00,-42.5967,148.2333,22,MAI20100722_80,80,0.003,0.002,0,0,,,0.012,0,0.095,0.022,0,0.007,0.006,,0,0,0.003,0,0,0.095,0,0.022,0,0,0.019,0,0.018,0,0,0,0,0.003,0,0,0,0,0.007,0,0,0.001,0.004,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_614a,NRS,Maria Island,MAI20100722,2010-07-22,2010-07-22 13:00:00,-42.5967,148.2333,22,MAI20100722_WC,WC,0.01,0.003,0,0,,,0.022,0,0.155,0.034,0.028,0,0.018,,0,0,0.009,0,0,0.155,0,0.034,0,0,0.027,0,0.039,0,0,0,0,0.006,0.004,0,0,0,0.015,0,0,0.003,0.007,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_614b,NRS,Maria Island,MAI20101001,2010-10-01,2010-10-01 12:55:00,-42.5967,148.2333,16,MAI20101001_20,20,0.007,0.013,0,0,,,0.014,0,0.36,0.078,0,0.036,0.017,,0,0,0.019,0,0,0.36,0,0.078,0,0,0.082,0,0.045,0,0,0,0,0.01,0.012,0,0,0,0.026,0,0,0.009,0.007,1,POINT (148.23333 -42.59667)
